conceptType,conceptUri,preferredLabel,status,altLabels,description,broaderConceptUri,broaderConceptPT
Occupation,http://data.europa.eu/esco/occupation/bff7e8a3-6206-4d38-b25f-fcb6e634c7af,Hochschullehrkraft für Archäologie,released,Universitätslehrer für Archäologie | ProfessorIn für Archäologie | Dozent/in für Archäologie | Universitätslehrerin für Archäologie | Hochschullehrer für Archäologie | Hochschullehrerin für Archäologie,"Hochschullehrkräfte für Archäologie sind Professoren/Professorinnen, Lehrkräfte oder Dozenten/Dozentinnen, die Studierende mit einem Abschluss der Sekundarstufe II in ihrem eigenen Fachgebiet, der Archäologie, unterrichten. Sie arbeiten mit Forschungsassistenten/Forschungsassistentinnen und wissenschaftlichen Hilfskräften zusammen, um Lehrveranstaltungen und Prüfungen vorzubereiten, studentische Arbeiten und Prüfungen zu benoten und Evaluierungsgespräche mit Studierenden zu führen. Zudem führen sie in ihrem jeweiligen Fachgebiet der Archäologie Forschungsarbeiten durch, veröffentlichen die gewonnenen Ergebnisse und tauschen sich mit Fachkollegen/-kolleginnen aus.",http://data.europa.eu/esco/occupation/684fd8d5-9b40-4b02-a680-438f0082d923,Hochschullehrkraft
Occupation,http://data.europa.eu/esco/occupation/c25b3700-6095-42b7-99fc-b87dc326c044,Agrarwissenschaftler/Agrarwissenschaftlerin,released,Landwirtschaftswissenschaftlerin | Agrarwissenschaftler | Landwirtschaftswissenschaftler | Agrarwissenschaftlerin | Agrarforscherin | Agrarforscher | Techniker für Agrarbioökonomie | Technikerin für Agrarbioökonomie,"Agrarwissenschaftler/Agrarwissenschaftlerinnen erforschen den Boden, Tiere und Pflanzen, um landwirtschaftliche Prozesse, die Qualität landwirtschaftlicher Erzeugnisse oder Umweltauswirkungen der Landwirtschaft zu verbessern. Sie planen für und implementieren Projekte wie Entwicklungsprojekte für Kunden oder Institutionen.",http://data.europa.eu/esco/isco/C2132,"Agrar-, Forst- und Fischereiwissenschaftler und -berater"
Occupation,http://data.europa.eu/esco/occupation/c262bb96-03bb-4c97-a45b-0cf36db5b048,Wissenschaftlicher Mitarbeiter/Wissenschaftliche Mitarbeiterin,released,Wissenschaftliche Mitarbeiterin | Hochschulassistentin | Wissenschaftlicher Mitarbeiter | Hochschulassistent | Universitätsassistentin | Universitätsassistent,"Wissenschaftlicher Mitarbeiter/wissenschaftliche Mitarbeiterinnen unterstützen Lehrkräfte bei ihrer Arbeit, vor allem durch das Halten von Lehrveranstaltungen. Sie bereiten Lehrveranstaltungen vor, führen sie durch und führen Evaluierungsgespräche mit Studierenden. Sie kombinieren zudem ihre Vorlesungen und anderen Lehraufgaben mit ihrer eigenen Forschung in ihrem Fachgebiet. Wissenschaftlicher Mitarbeiter/Mitarbeiterinnen haben eine eigenständige Vollzeitstelle, auch wenn ihre Stellenbezeichnung möglicherweise eine untergeordnete Position vermuten lässt.",http://data.europa.eu/esco/occupation/684fd8d5-9b40-4b02-a680-438f0082d923,Hochschullehrkraft
Occupation,http://data.europa.eu/esco/occupation/c3b82711-273d-4fa8-8de7-0ac3d99c16fc,Hochschullehrkraft für Informatik,released,Universitätsassistentin für Informatik | Universitätslehrerin für Computerwissenschaften | Universitätsassistent für Informatik | Universitätslehrkraft für IT | Hochschullehrerin für Computerwissenschaften | Hochschullehrer für Computerwissenschaften | Dozent/in für Informatik | Universitätslehrer für Computerwissenschaften | Hochschullehrerin für Informatik | Hochschullehrer für Informatik | ProfessorIn für Informatik,"Hochschullehrkräfte für Informatik sind Professoren/Professorinnen, Lehrkräfte oder Dozenten/Dozentinnen, die Studierende mit einem Abschluss der Sekundarstufe II in ihrem eigenen Fachgebiet, der Informatik, unterrichten. Sie arbeiten mit ihren Forschungsassistenten/Forschungsassistentinnen und wissenschaftlichen Hilfskräften zusammen, um Lehrveranstaltungen und Prüfungen vorzubereiten, studentische Arbeiten und Prüfungen zu benoten und Evaluierungsgespräche mit Studierenden zu führen. Zudem führen sie in ihrem Gebiet der Informatik Forschungsarbeiten durch, veröffentlichen die gewonnenen Erkenntnisse und tauschen sich mit Fachkollegen/-kolleginnen aus.",http://data.europa.eu/esco/occupation/684fd8d5-9b40-4b02-a680-438f0082d923,Hochschullehrkraft
Occupation,http://data.europa.eu/esco/occupation/c549f0de-c415-428e-865c-973bcd224b39,Hochschullehrkraft für Sprachwissenschaften,released,Professorin für Linguistik | Professor für Linguistik | UniversitätsassistentIn für Sprachwissenschaft | Wissenschaftlicher Mitarbeiter für Psycholoinguistik | Wissenschaftliche Mitarbeiterin für Psycholoinguistik | Professor für Angewante Linguistik | Dozent/in für Vergleichende Sprachwissenschaft | Professorin für Angewandte Linguistik,"Hochschullehrkräfte für Sprachwissenschaften sind Professoren/Professorinnen, Lehrkräfte oder Dozenten/Dozentinnen, die Studierende mit einem Abschluss der Sekundarstufe II in ihrem eigenen Fachgebiet, den Sprachwissenschaften, unterrichten. Sie arbeiten mit ihren Forschungsassistenten/Forschungsassistentinnen und wissenschaftlichen Hilfskräften zusammen, um Lehrveranstaltungen und Prüfungen vorzubereiten, studentische Arbeiten und Prüfungen zu benoten und Evaluierungsgespräche mit Studierenden zu führen. Zudem führen sie in ihrem jeweiligen Fachgebiet der Sprachwissenschaften Forschungsarbeiten durch, veröffentlichen die gewonnenen Ergebnisse und tauschen sich mit Fachkollegen/-kolleginnen aus.",http://data.europa.eu/esco/occupation/684fd8d5-9b40-4b02-a680-438f0082d923,Hochschullehrkraft
Occupation,http://data.europa.eu/esco/occupation/c593ded7-2e97-44a5-a5f3-f6115ff98233,Hochschullehrkraft für Politikwissenschaft,released,LehrbeauftragteR für internationale Politik | Assistent für Politik- und Verwaltungswissenschaften | UniversitätsprofessorIn für Politik und Gesellschaft | Assistentin für Politik- und Verwaltungswissenschaften | Dozent/in für Politikwissenschaft,"Hochschullehrkräfte für Politikwissenschaft sind Professoren/Professorinnen, Lehrkräfte oder Dozenten/Dozentinnen, die Studierende mit einem Abschluss der Sekundarstufe II in ihrem eigenen Fachgebiet, der Politikwissenschaft, unterrichten. Sie arbeiten mit ihren Forschungsassistenten/Forschungsassistentinnen und wissenschaftlichen Hilfskräften zusammen, um Lehrveranstaltungen und Prüfungen vorzubereiten, studentische Arbeiten und Prüfungen zu benoten und Evaluierungsgespräche mit Studierenden zu führen. Zudem führen sie in ihrem jeweiligen Fachgebiet der Politikwissenschaft Forschungsarbeiten durch, veröffentlichen die gewonnenen Ergebnisse und tauschen sich mit Fachkollegen/-kolleginnen aus.",http://data.europa.eu/esco/occupation/684fd8d5-9b40-4b02-a680-438f0082d923,Hochschullehrkraft
Occupation,http://data.europa.eu/esco/occupation/c6196b21-20f9-4608-83fb-6f143afc740d,Geologe/Geologin,released,Geologe | Geologin,"Geologen/Geologinnen erforschen die Materialien, aus denen die Erde besteht. Ihre Beobachtungen hängen vom Forschungszweck ab. Je nach ihrer Spezialisierung untersuchen Geologen/Geologinnen für Privatunternehmen die Entwicklung der Erde im Laufe der Zeit, die geologischen Erdschichten, die Qualität von Mineralien für Bergbauzwecke, Erdbeben und Vulkanismus und ähnliche Phänomene.",http://data.europa.eu/esco/isco/C2114,Geologen und Geophysiker
Occupation,http://data.europa.eu/esco/occupation/c8fa93eb-7c2c-42c3-b135-c2e825a6615e,Prüfingenieur/Prüfingenieurin,released,Batterievalidierungsingenieur | Testingenieur | Prüfingenieurin | Testingenieurin | Batterietestingenieur | Prüfingenieur,"Prüfingenieure/Prüfingenieurinnen planen und führen während verschiedener Phasen des Gestaltungsprozesses eingehende Qualitätsprüfungen durch, um sicherzustellen, dass die Systeme ordnungsgemäß installiert sind und funktionieren. Sie analysieren die Daten aus den Qualitätsprüfungen und erstellen Berichte. Sie sind zudem für die Sicherheit der Qualitätsprüfungen verantwortlich.",http://data.europa.eu/esco/isco/C2149,"Ingenieure, anderweitig nicht genannt"
Occupation,http://data.europa.eu/esco/occupation/c90a6ebe-adcc-4395-9f5b-ff3e96e93cef,Hochschullehrkraft für Religionswissenschaft,released,Hochschulassistent/in für Religionswissenschaft | Professor für Religionserziehung | Lehrbeauftragte für religiöse Studien | UniversitätsdozentIn für Theologie | Professorin für Religionserziehung | Lehrbeauftragter für religiöse Studien,"Hochschullehrkräfte für Religionswissenschaft sind Professoren/Professorinnen, Lehrkräfte oder Dozenten/Dozentinnen, die Studierende mit einem Abschluss der Sekundarstufe II in ihrem eigenen Fachgebiet, der Religionswissenschaft, unterrichten. Sie arbeiten mit ihren Forschungsassistenten/Forschungsassistentinnen und wissenschaftlichen Hilfskräften zusammen, um Lehrveranstaltungen und Prüfungen vorzubereiten, studentische Arbeiten und Prüfungen zu benoten und Evaluierungsgespräche mit Studierenden zu führen. Zudem führen sie in ihrem jeweiligen Fachgebiet der Religionswissenschaft Forschungsarbeiten durch, veröffentlichen die gewonnenen Ergebnisse und tauschen sich mit Fachkollegen/-kolleginnen aus.",http://data.europa.eu/esco/occupation/684fd8d5-9b40-4b02-a680-438f0082d923,Hochschullehrkraft
Occupation,http://data.europa.eu/esco/occupation/d7d986e1-7333-431b-9719-0c5c6939e360,Bauingenieur/Bauingenieurin,released,Bauingenieur | Zivilingenieur Bau | Zivilingenieurin Bau | Bauingenieurin,"Bauingenieure/Bauingenieurinnen gestalten, planen und entwickeln technische und ingenieurwissenschaftliche Spezifikationen für Infrastruktur- und Bauvorhaben. Sie verfügen über ingenieurtechnische Kenntnisse in einer Vielzahl von Projekten, vom Bau von Verkehrsinfrastruktur über Wohnprojekte und Luxusgebäude bis hin zur Anlage von Naturflächen. Sie erstellen Pläne, um Baumaterialien zu optimieren und die Spezifikationen und die Ressourcenzuweisung innerhalb der Fristen zu integrieren.",http://data.europa.eu/esco/isco/C2142,Bauingenieure
