conceptType,conceptUri,preferredLabel,status,skillType,reuseLevel,altLabels,description,broaderConceptUri,broaderConceptPT
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/e844bde0-9563-4c07-a7e6-4150d5f06a4b,Wasserverbrauch einschätzen,released,skill/competence,occupation-specific,,"Schätzung, Messung und Registrierung des Wasserverbrauchs für die Bewässerung von Grünanlagen oder Grünflächen.",http://data.europa.eu/esco/skill/f5f15f9c-6334-4728-8dc5-3a20a00dfc37,Durchführen von Berechnungen
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/e85cff6b-ee0e-4106-98f0-b57b39a2ea3f,Krankheits- und Schädlingsbekämpfung durchführen,released,skill/competence,sector-specific,,"Durchführen von Krankheits- und Schädlingsbekämpfung mit konventionellen oder biologischen Methoden unter Berücksichtigung des Klimas, der Pflanzenart sowie der Gesundheits-, Sicherheits- und Umweltschutzvorschriften. Lagern und Handhaben von Pestiziden gemäß den Empfehlungen und der Gesetzgebung.",http://data.europa.eu/esco/skill/8064ae65-5d1b-44e1-9aaf-246a4285a9a6,Einhaltung von Umweltschutzgesetzen und -normen
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/e979659d-d06e-4968-b4b2-ac51e379b552,hybride Betriebsstrategien planen,released,skill/competence,occupation-specific,,"Entwurf von Betriebsstrategien für hybride Antriebssysteme unter Berücksichtigung der Grenzen für die Energierückgewinnung und ihrer begrenzenden Faktoren. Prüfung der Vorteile der Lastverschiebung und der Frage, wie die Lastverschiebung das Energiemanagement verbessern kann. Verstehen der mit dem intermittierenden Betrieb des Verbrennungsmotors verbundenen Probleme.
   ",http://data.europa.eu/esco/skill/39fa260c-4f85-48e3-83ce-e292e696c233,Entwurf elektrischer oder elektronischer Systeme oder Ausrüstungen
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/e9d6ebab-13ad-45ce-a955-fc3f1e56add8,Maßnahmen zur Sicherung von Naturschutzgebieten planen,released,skill/competence,sector-specific,Schutz von Naturräumen planen | Erhaltung von Naturschutzgebieten planen,"Planung von Schutzmaßnahmen für gesetzlich geschützte Naturgebiete, um die negativen Auswirkungen des Tourismus oder von Naturgefahren auf die ausgewiesenen Gebiete zu verringern. Dazu gehören Tätigkeiten wie die Kontrolle der Nutzung von Land und natürlichen Ressourcen und die Überwachung der Besucherströme.
   ",http://data.europa.eu/esco/skill/8064ae65-5d1b-44e1-9aaf-246a4285a9a6,Einhaltung von Umweltschutzgesetzen und -normen
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/e9e57db9-a6ef-4e44-a33c-a022d7c4a17f,Umweltqualität in Innenräumen,released,knowledge,sector-specific,EIQ,"Die Auswirkungen jeder im Planungsprozess getroffenen Entscheidung auf die Umweltqualität in Innenräumen.
	",http://data.europa.eu/esco/skill/75f312e1-622b-4751-8d93-815b32feaf8d | http://data.europa.eu/esco/isced-f/0712,Verhütung von Umweltverschmutzung | Umweltschutztechnologie
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/e9ff446f-6a8a-4e35-a611-176508964be3,alternative Kraftstoffe,released,knowledge,sector-specific,E-Kraftstoffe | E-Fuels | Biokraftstoffe | CO2-negativer Kraftstoff | CO2-neutraler Kraftstoff | sauberer Kraftstoff,"Kraftstoffe oder Energiequellen, die zumindest teilweise als Ersatz für traditionelle Energieträger für den Verkehrssektor wie Öl und fossile Quellen dienen. Sie können zu den Bemühungen zur Reduzierung der CO2-Emissionen beitragen und die Umweltverträglichkeit der Wirtschaft und des Verkehrssektors erhöhen.
	",http://data.europa.eu/esco/skill/279e8cb1-b704-41b3-a1c9-60f130e303b4 | http://data.europa.eu/esco/isced-f/0531,Kraftstoffarten | Chemie
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/eaef3371-cb14-4d21-90a4-e54dc7c6391c,Steuerungssysteme für Entsalzungsanlagen bedienen,released,skill/competence,sector-specific,,Steuern eines Entsalzungssystems im Rahmen der Trinkwassergewinnung.,http://data.europa.eu/esco/skill/d3b2c894-33fb-47c4-aff0-27935a082bf6,"Betrieb von Systemen oder Ausrüstungen für die Verarbeitung von Erdöl, die chemische Weiterverarbeitung oder die Wasseraufbereitung"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/eb65ce8e-61bf-49d1-99bb-cb699ba1005b,Strahlenschutz,released,knowledge,cross-sector,,Maßnahmen und Verfahren zum Schutz der Menschen und der Umwelt vor den schädlichen Auswirkungen ionisierender Strahlung.,http://data.europa.eu/esco/isced-f/0914,Medizinische Diagnostik und Medizintechnologie
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/ec4de8aa-9ba4-412b-832d-93361210eae3,Meerestechnologie,released,knowledge,cross-sector,maritime Technologien,"Technologien für die sichere Nutzung, die Verwertung, den Schutz und den Eingriff in die Meeresumwelt.
	",http://data.europa.eu/esco/isced-f/0732,Bau- und Bauingenieurwesen
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/ec66a2f9-db12-4eec-936a-47632bfdccfb,Durchführbarkeitsstudie zu intelligenten Stromnetzen ausführen,released,skill/competence,sector-specific,,"Bewertung und Beurteilung des Potenzials eines intelligenten Stromnetzes im Rahmen des Projekts. Durchführung einer standardisierten Studie zur Ermittlung des Energieeinsparungsbeitrags, der Kosten und der Einschränkungen sowie Durchführung von Untersuchungen zur Unterstützung des Entscheidungsfindungsprozesses. Prüfung der Herausforderungen und Chancen, die mit der Einführung von Drahtlostechnologien für intelligente Stromnetze verbunden sind.
	",http://data.europa.eu/esco/skill/d74df140-eb69-43e2-bac9-1cafc824d702 | http://data.europa.eu/esco/skill/ec528c47-65f4-4187-9dc1-5a8889f84a06,Machbarkeitsstudie durchführen | Analyse von Geschäftstätigkeiten
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/ec7fd241-e68f-4593-a42a-a12a9bd80cbc,Bestandteile von Schuhwerk,released,knowledge,sector-specific,,"Bestandteile von Schuhwerk sowohl für Schuhoberteile (Vorderteile, Hinterteile, Futter, Verstärkungen, Vorderkappenversteifung usw.) als auch für Schuhunterteile (Sohlen, Absätze, Brandsohlen usw.). Ökologische Bedenken und die Bedeutung des Recyclings. Auswahl geeigneter Materialien und Bestandteile auf der Grundlage ihres Einflusses auf den Schuhtyp sowie Merkmale, Eigenschaften und Herstellbarkeit. Verfahren und Methoden der chemischen und mechanischen Verarbeitung von Leder und anderen Materialien als Leder.",http://data.europa.eu/esco/isced-f/0723,"Textilien (Bekleidung, Schuhe und Leder)"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/ecd368bc-6383-4a03-9b61-46e0a94750f7,über energiesparende Technologien unterrichten,released,skill/competence,sector-specific,,"Unterrichtung des Facility Managers/der Facility Managerin oder ähnlicher Beauftragter in Bezug auf die Überwachungsparameter, um zu gewährleisten, dass das System die geplanten Energiesparziele erreicht.
	",http://data.europa.eu/esco/skill/699e7c26-6502-4e78-a823-3656ff5a5b8b | http://data.europa.eu/esco/skill/caede8f1-6658-4d78-9eb4-2ad2c7ebf09b,andere unterweisen | Lehre und Ausbildung
